Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
,C 5314,0.192918,0.038008,0.016442,0.396941,0,0,164.128178,47.814751,0.350017432,54.97071676,-7.173172828,2,sunflower
,G 9455,0.316336,0.028764,0.006841,0.239046,0,0.186533,2632.355993,9.71762,0.409013819,54.44350038,-8.093226498,2,sunflower
,H 8176,0,0.047255,0.289757,0,0,0.031904,3647.673771,65.958099,0.616862145,54.62569363,-6.746666365,2,sunflower
,J 4577,0,0.114789,0.008758,0.249167,0.072722,0.046886,0,9.0465,0.554563757,54.62036449,-5.755950073,2,sunflower
,H 7445,0,0.043549,0,0,0.010394,0,2665.501809,45.636749,0.946056967,54.34834084,-6.862775028,2,sunflower
,C 7722,0.003799,0.015784,0.025281,0.590783,0.033751,0.071225,5596.820468,35.665401,0.330600784,55.03943532,-6.79634764,2,sunflower
,D 2904,0.34957,0.014557,0,0.629678,0.000004,0,2401.007722,23.315201,0.006191651,54.86709069,-5.991509082,2,sunflower
,D 0736,0.156316,0.00798,0,0.50927,0,0,167.698045,54.915001,0.32643393,55.15959047,-6.32203173,2,sunflower
,H 8385,0,0.162641,0.000048,0,0.006232,0.029358,1712.157944,18.5228,0.831078637,54.70619583,-6.713156384,2,sunflower
,D 3806,0,0.044695,0.053788,0.031914,0.029558,0.032157,0,36.284249,0.839840421,54.88264506,-5.850479925,2,sunflower
,J 3382,0,0.059047,0.157346,0.09973,0.041652,0.278204,0,155.725998,0.642224395,54.66855043,-5.939316814,2,sunflower
,H 6652,0,0,0.23713,0,0.008129,0.049198,3060.85761,21.9685,0.739781315,54.41231173,-6.984224393,2,sunflower
,J 1818,0,0.107581,0.271343,0.16604,0.08089,0.223942,5431.851601,32.232699,0.374145346,54.09763091,-6.197046692,2,sunflower
,H 4338,0.076742,0.212681,0.006494,0.228193,0.047587,0.191991,2306.787511,29.143299,0.421890827,54.28901201,-7.340451935,2,sunflower
,H 6482,0.551906,0,0.019386,0.296031,0,0.054486,53.720034,3991.008221,0.093958057,54.68202228,-7.008507593,2,sunflower
,J 3237,0,0.027268,0.001124,0.763303,0.104168,0.028084,0,111.760575,0.037257142,54.26481959,-5.974865186,2,sunflower
,C 5218,0,0.173271,0.027983,0.031339,0,0,5081.390078,13.37446,0.767406997,55.00674844,-7.188060525,2,sunflower
,D 0642,0.014146,0.020455,0.012354,0.136011,0.134482,0.135314,1096.09752,44.209366,0.682551851,55.21367603,-6.335467958,2,sunflower
,H 1466,0,0.162524,0.012939,0.532851,0.006134,0.020671,2249.977566,39.761599,0.28555162,54.54215926,-7.784441202,2,sunflower
,H 1466,0,0.162524,0.012939,0.532851,0.006134,0.020671,2249.977566,39.761599,0.28555162,54.54215926,-7.784441202,2,sunflower
,D 1337,0,0.015991,0,0.050748,0.006615,0,6458.832076,37.684949,0.926645949,55.16723663,-6.227548391,2,sunflower
,C 5716,0.50323,0,0,0.062459,0.036578,0.207564,824.175301,4.0467,0.397732618,54.98823888,-7.110324878,2,sunflower
,H 4232,0.003293,0.136316,0.016806,0.235367,0,0.180584,3283.589843,36.916349,0.608217162,54.23519679,-7.356646709,2,sunflower
,H 5138,0.060293,0.207603,0.01786,0.092413,0.06934,0.469139,2703.927019,52.353901,0.547141952,54.28827735,-7.217618336,2,sunflower
,H 3525,0,0.334646,0,0,0.213039,0.053586,1615.68812,9.0465,0.425583413,54.17283916,-7.464804579,2,sunflower
,H 0440,0,0.181979,0.051445,0.072241,0.159663,0.208353,0,61.182301,0.53079413,54.30876901,-7.939293904,2,sunflower
,H 4379,0,0.094344,0.010978,0.033047,0.010827,0.213165,3385.518743,15.0852,0.844843899,54.6573024,-7.334497358,2,sunflower
,C 9815,0.144511,0.069762,0.006838,0.148259,0.012981,0.204296,5007.630493,29.80365,0.617648253,54.97288909,-6.470385152,2,sunflower
,J 3670,0,0.078105,0.186367,0.069079,0.035352,0.043695,2468.591433,39.638401,0.631097505,54.56002659,-5.898414044,2,sunflower
,C 4117,0,0.053429,0.034042,0.012332,0,0,1641.519024,49.807433,0.857043982,54.99879265,-7.36010552,2,sunflower
,J 2721,0,0.068489,0.006108,0.21165,0.309085,0.177682,3193.301568,29.67665,0.404667551,54.12242743,-6.058301812,2,sunflower
,H 1264,0,0.212184,0.004929,0.376423,0,0.01444,0,94.8245,0.351979411,54.52424415,-7.815423169,2,sunflower
,D 2232,0,0.243095,0,0.002966,0.011773,0.040438,3488.447116,11.8946,0.742165911,55.1202157,-6.088552035,2,sunflower
,H 7085,0.028824,0.093787,0,0.823882,0.011276,0.042231,4657.390041,251.143069,0.042231202,54.70816936,-6.914783586,2,sunflower
,H 4329,0,0.076478,0.005637,0,0,0.059221,4190.656954,79.823799,0.917884263,54.20816469,-7.341741195,2,sunflower
,J 0528,0,0.101625,0.208464,0.002408,0.007988,0.14957,3860.490367,113.3712,0.648083449,54.1902466,-6.392190695,2,sunflower
,H 7695,0,0.368974,0,0.03959,0,0.115261,3389.944832,77.877502,0.568347,54.79710988,-6.819110062,2,sunflower
,J 3522,0,0.022177,0.041243,0.193477,0.160711,0.180756,2633.787409,154.717499,0.582391112,54.12936981,-5.935581913,2,sunflower
,J 3629,0,0.046304,0.018218,0.487016,0.306265,0,3595.065102,36.330299,0.142195918,54.19195135,-5.917140177,2,sunflower
,C 4921,0,0.065108,0.180257,0.033631,0.093578,0.029103,288.164579,8.450075,0.614117215,55.03399741,-7.234428224,2,sunflower
,C 5021,0,0.114296,0.179171,0.100571,0.020131,0.05042,1807.82647,154.438932,0.578236402,55.033898,-7.218790564,2,sunflower
,C 7535,0,0.202827,0.041695,0.323508,0.000352,0.110359,4873.429873,45.7159,0.418554222,55.15648685,-6.824200382,2,sunflower
,J 0735,0,0.185241,0.017498,0,0,0.025135,0,119.181997,0.738383685,54.25269371,-6.359073577,2,sunflower
,H 7677,0,0.221163,0.014162,0.197726,0,0,1693.440061,35.818199,0.560870962,54.63545137,-6.823800892,2,sunflower
,H 1767,0,0.058447,0,0.495489,0,0.341147,2975.425542,19.47635,0.446063925,54.55105074,-7.738032685,2,sunflower
,J 3265,0,0.024756,0.157223,0.060844,0.022565,0.007568,2477.556533,117.926568,0.734612231,54.51619705,-5.962441871,2,sunflower
,H 2067,0,0,0,0.307514,0.007305,0.20186,2597.291309,18.17355,0.685181253,54.55094134,-7.691671897,2,sunflower
,C 8303,0,0.250523,0.027422,0,0.098073,0.196626,934.490474,25.135799,0.623982128,54.8678457,-6.708011034,2,sunflower
,J 3020,0,0.021451,0.024278,0.163931,0.266267,0.105136,2274.560375,81.961597,0.523576615,54.11270021,-6.012877255,2,sunflower
,J 4375,0,0.01219,0.006298,0.060061,0,0.008529,2094.970653,147.759953,0.921451063,54.60298144,-5.787861416,2,sunflower
,H 6161,0,0.031161,0,0.329188,0.039102,0.351562,2943.973387,7.24089,0.600549107,54.493774,-7.059369468,2,sunflower
,H 6163,0.133404,0.021617,0.006587,0.341361,0.153621,0.265472,723.087976,15.176345,0.343410998,54.51173808,-7.058956612,2,sunflower
,H 1850,0,0.523123,0.007993,0.113242,0,0,2434.85609,7.24089,0.318565892,54.39830208,-7.723611853,2,sunflower
,C 4619,0,0.211082,0.146551,0.030189,0,0,0,38.740898,0.47924414,55.01632004,-7.281663254,2,sunflower
,C 5010,0,0.248377,0.100156,0,0,0.035495,4908.237426,50.355349,0.651466997,54.93509933,-7.220707717,2,sunflower
,H 5962,0.660831,0.049466,0.030478,0,0.009422,0.019353,210.072705,40.8932,0.202244022,54.50299238,-7.090030315,2,sunflower
,J 1020,0,0.334107,0.042248,0,0.249419,0.145388,268.042248,15.0472,0.347581088,54.11736082,-6.318544112,2,sunflower
,C 5720,0,0.088487,0.04969,0.003272,0,0.363777,3824.541896,18.633699,0.849170158,55.02416454,-7.10952902,2,sunflower
,H 6152,0,0.144087,0,0.098837,0.110057,0,4722.178582,40.197166,0.647013301,54.41293498,-7.061221711,2,sunflower
,J 2828,0,0,0,0.072185,0.152186,0.032349,3995.915562,118.432152,0.736753382,54.1850294,-6.040048318,2,sunflower
,D 0520,0,0.014538,0.014186,0.000026,0.016677,0.184522,0,48.5919,0.954573773,55.01635942,-6.35929002,2,sunflower
,H 2669,0,0.151099,0,0.207931,0.221253,0.27647,4444.483267,40.645766,0.419716857,54.56863513,-7.598774884,2,sunflower
,H 9733,0,0.033504,0.088237,0.021074,0,0.001479,3033.838926,26.1082,0.69011348,54.23672332,-6.513086982,2,sunflower
,D 3014,0,0.067931,0.094872,0.251976,0,0.017023,5874.796526,23.315201,0.585221445,54.95660235,-5.971432429,2,sunflower
,H 1941,0,0.067302,0.011194,0.203141,0,0.010524,4085.471692,35.6563,0.718363196,54.31741567,-7.708788791,2,sunflower
,J 4078,0,0.132701,0.468479,0.069437,0.021837,0.031557,1870.686138,35.5826,0.300672392,54.63075061,-5.832816929,2,sunflower
,H 6560,0,0.176024,0,0,0.004422,0.051304,3319.203199,11.0411,0.809878836,54.48429597,-6.997869719,2,sunflower
,H 3324,0,0.293859,0.005435,0,0.043142,0.045766,483.458006,30.5561,0.550783288,54.16398803,-7.495537737,2,sunflower
,H 6894,0.029054,0.00011,0,0.201826,0.190698,0.201352,392.014193,59.838201,0.578311018,54.78927543,-6.943702573,2,sunflower
,H 1871,0,0.03279,0,0.713943,0.055639,0.153405,3898.468318,58.412399,0.197629238,54.58694843,-7.722334636,2,sunflower
,C 4619,0,0.211082,0.146551,0.030189,0,0,0,38.740898,0.47924414,55.01632004,-7.281663254,2,sunflower
,D 0938,0,0.010948,0,0,0,0,7948.750019,26.818749,0.989051821,55.17711111,-6.289900458,2,sunflower
,H 8290,0,0.139229,0,0.31099,0.010945,0.264837,1773.059011,346.854929,0.538836046,54.75126302,-6.727258301,2,sunflower
,J 6164,0,0.012282,0.055507,0.005257,0.191868,0.107599,0,638.664317,0.735086152,54.49885141,-5.515602357,2,sunflower
,C 5219,0,0.045569,0.498152,0,0,0,3601.134946,71.151051,0.456278043,55.01573003,-7.187878964,2,sunflower
,C 5319,0,0.026272,0.021289,0,0,0,1690.570563,23.111799,0.944815194,55.01562467,-7.172248591,2,sunflower
,D 3106,0,0.01645,0,0,0.096261,0.221267,3816.94104,5.64027,0.887289955,54.88452566,-5.959472564,2,sunflower
,H 2451,0.10605,0.105026,0.026024,0.035098,0.014524,0.059263,3380.729014,257.462341,0.713277299,54.40703827,-7.631154875,2,sunflower
,H 1076,0.172838,0.040682,0.001611,0.523408,0.013901,0.167019,2108.344976,27.5797,0.245964708,54.63208469,-7.845903262,2,sunflower
,J 2016,0.002534,0,0,0.056887,0.292733,0.116596,2911.231598,45.9631,0.64784556,54.07921049,-6.167284689,2,sunflower
,J 4772,0,0.158612,0.030411,0.092103,0.179846,0.185983,0,42.155949,0.535051599,54.57490672,-5.727516238,2,sunflower
,D 0436,0.005813,0,0.016218,0.471968,0.060521,0.03972,0,51.012751,0.445480747,55.16022915,-6.369077096,2,sunflower
,H 3725,0,0.249194,0,0.044632,0,0.267928,2933.030154,27.620951,0.407035095,54.17269909,-7.434181059,2,sunflower
,H 5454,0,0.088401,0,0.127699,0,0.004935,576.845121,48.889502,0.774150044,54.43168993,-7.168658963,2,sunflower
,H 2729,0,0.011962,0.006508,0,0.004536,0.066849,1441.075499,26.8671,0.954242328,54.20925548,-7.586942627,2,sunflower
,C 3914,0,0,0,0,0,0.026051,0,51.334801,0.999999993,54.97200701,-7.391762348,2,sunflower
,H 4193,0,0.0042,0,0.236782,0.114873,0.503364,4857.618894,205.990032,0.6441447,54.78322195,-7.363515384,2,sunflower
,J 1042,0,0.064147,0.204609,0,0.013831,0.145504,965.214341,38.55855,0.695451092,54.31491615,-6.310495863,2,sunflower
,C 5711,0.299235,0.093833,0.00019,0.224874,0.161671,0.150666,323.362408,39.947966,0.220197445,54.9433315,-7.111317213,2,sunflower
,H 9051,0,0.115859,0.046024,0,0,0.083075,1939.345614,81.770474,0.686136279,54.39965633,-6.614986559,2,sunflower
,C 4215,0,0.024045,0.489519,0.0624,0,0,910.175332,20.590099,0.410201731,54.98074555,-7.344773996,2,sunflower
,H 8542,0,0.041137,0.007606,0,0.022427,0.050002,2570.708472,33.269699,0.893336949,54.31968469,-6.694516856,2,sunflower
,H 2287,0.036995,0.009131,0,0.019118,0.057529,0.283124,1235.270989,13.9903,0.877226597,54.73051624,-7.659264252,2,sunflower
,J 2617,0,0.049385,0.04733,0.462764,0.084367,0.160517,4047.643753,3878.702459,0.356155283,54.08675807,-6.075251865,2,sunflower
,J 2616,0,0.213506,0.034658,0.26239,0.131494,0.111763,2678.706757,50.791632,0.357952265,54.07777927,-6.075667504,2,sunflower
,H 7498,0,0.18602,0.003301,0.345664,0.086602,0.163156,4080.788588,24.418501,0.378414187,54.82435147,-6.849433114,2,sunflower
,D 0138,0.159328,0.003583,0,0.185827,0.013972,0.000985,0,16.74275,0.637289801,55.17880732,-6.415411911,2,sunflower
,G 9154,0.010674,0.092957,0.072918,0.530361,0,0.016832,1774.309616,20.9398,0.291282607,54.43447269,-8.139435814,2,sunflower
,C 5216,0,0.035465,0.113168,0.022156,0.005991,0.046786,4638.2756,41.735,0.82321921,54.98878522,-7.188423345,2,sunflower
,H 5141,0.028844,0.075859,0,0.741012,0.021062,0.097995,4271.566085,17.77974,0.133222291,54.31522549,-7.217106932,2,sunflower
,C 5613,0.27393,0.055212,0.006209,0.520298,0.016989,0.073181,388.207037,58.72735,0.127361983,54.96140766,-7.126529639,2,sunflower
,H 2356,0.007296,0.278897,0.006899,0.209292,0.008086,0.016019,3346.183263,49.155701,0.489530053,54.4520003,-7.646167006,2,sunflower
,H 2457,0,0.078592,0.08327,0.116127,0,0.078975,3556.911437,22.147401,0.722010879,54.46093726,-7.6306699,2,sunflower
,C 5211,0.058867,0.255661,0.005453,0.040176,0.022012,0,3932.898853,94.808098,0.617831525,54.94387694,-7.18932863,2,sunflower
,H 6492,0.171427,0,0,0.686996,0,0.000383,2336.092237,48.490049,0.141576918,54.77183793,-7.006311723,2,sunflower
,C 4911,0,0.144461,0.045717,0.038495,0.054358,0.061598,1505.897407,40.448501,0.716969355,54.94418017,-7.236136702,2,sunflower
,H 7461,0,0.155239,0.007375,0.129505,0.005379,0.017457,4557.875294,43.486632,0.702501412,54.49204636,-6.858788256,2,sunflower
,C 4214,0,0.169187,0.108567,0.001254,0.003423,0,1713.418621,21.5155,0.717569644,54.9717636,-7.344920309,2,sunflower
,H 3246,0,0.030369,0.030979,0.009855,0.038006,0.02101,4525.622444,7.24089,0.890792187,54.36168338,-7.508499456,2,sunflower
,J 0888,0,0.307292,0.031554,0.328563,0.073254,0,3906.742126,49.454466,0.237975636,54.72839566,-6.324379101,2,sunflower
,H 3325,0,0.285025,0,0,0.012827,0.032765,0,45.192699,0.619162619,54.17297144,-7.495428353,2,sunflower
,H 2452,0,0.174422,0.019084,0.056366,0.020961,0.017114,3239.146816,30.410301,0.72916862,54.41602147,-7.631074156,2,sunflower
,C 6720,0,0.135612,0.025124,0.038639,0,0.217729,5444.794706,168.416097,0.800624373,55.02291983,-6.953201018,2,sunflower
,H 1446,0,0.33479,0,0.220764,0,0.040612,4540.745026,193.691236,0.270691207,54.36249403,-7.785384595,2,sunflower
,J 1918,0,0.040625,0,0.759631,0.176137,0,2585.658368,923.666098,0.023607292,54.09740094,-6.181769593,2,sunflower
,J 1817,0,0.620929,0.083157,0.145153,0.017128,0.039533,688.675161,24.2816,0.082507429,54.0886515,-6.1974362,2,sunflower
,J 4057,0,0.158032,0.005842,0.156872,0.086732,0.186903,0,114.14442,0.592522294,54.44223787,-5.842787703,2,sunflower
,G 9847,0,0.008922,0,0.108835,0.16065,0.245602,2762.816069,33.4646,0.721593217,54.37166491,-8.031518848,2,sunflower
,H 4764,0,0.203821,0.034108,0.034961,0.033307,0.042867,0,58.498598,0.68733425,54.52220997,-7.274924065,2,sunflower
,C 5620,0,0.06019,0.319202,0.05811,0,0,3760.761735,8.57827,0.562497831,55.02427797,-7.125162462,2,sunflower
,J 3020,0,0.021451,0.024278,0.163931,0.266267,0.105136,2274.560375,81.961597,0.523576615,54.11270021,-6.012877255,2,sunflower
,H 3792,0.114697,0,0,0.657737,0.08083,0.040221,2455.190908,46.048299,0.146736937,54.77454992,-7.425808262,2,sunflower
,D 1626,0.045547,0.005791,0,0.337758,0.157731,0.453174,4992.697593,16.4356,0.453173636,55.06778734,-6.184983707,2,sunflower
,J 2119,0.013425,0,0,0.837146,0.02965,0.003399,2403.079584,23.484301,0.11977878,54.10591435,-6.150816428,2,sunflower
,J 2118,0,0,0,0.366347,0.447149,0.106756,747.523435,24.418501,0.18650438,54.09693518,-6.151216039,2,sunflower
,H 2774,0.061377,0.111715,0,0,0.414587,0.31882,4539.135298,42.940851,0.412320781,54.61349724,-7.582855719,2,sunflower
,H 8682,0,0.188975,0.005833,0.046905,0.008715,0.012901,2882.392012,505.690432,0.749572048,54.67875119,-6.667514034,2,sunflower
,C 7626,0.175227,0.098444,0.038252,0.633519,0.051337,0.003222,927.649232,35.790899,0.003221551,55.07551096,-6.810920864,2,sunflower
,C 4219,0,0,0.877996,0,0.012301,0,4281.487398,28.4973,0.109703549,55.01667324,-7.344187929,2,sunflower
,C 4417,0,0.073892,0.453941,0.009267,0,0.025169,0,33.91725,0.457424055,54.99853695,-7.313232583,2,sunflower
,D 0640,0.251219,0.004785,0.008235,0.527171,0,0.013283,1210.738079,17.896299,0.208588683,55.19571921,-6.336217246,2,sunflower
,D 3016,0,0.474388,0.024416,0.181733,0.015374,0.066429,0,54.133301,0.287839453,54.97455619,-5.970527036,2,sunflower
,J 1892,0,0.058954,0.006768,0.478896,0.128132,0.127723,266.058278,31.6043,0.322453814,54.76206466,-6.167622677,2,sunflower
,C 4215,0,0.024045,0.489519,0.0624,0,0,910.175332,20.590099,0.410201731,54.98074555,-7.344773996,2,sunflower
,H 5088,0.176827,0.018336,0,0.257145,0.016536,0.256367,2573.132757,41.0149,0.53115656,54.737497,-7.224507073,2,sunflower
,H 1150,0,0.165772,0.016833,0.429616,0.033776,0.100828,1687.198334,10.777085,0.3540024,54.39850097,-7.831385691,2,sunflower
,H 0363,0.131429,0.118485,0,0.318353,0.116193,0.133148,3069.511269,2188.941935,0.308767632,54.5153936,-7.954426366,2,sunflower
,H 0664,0,0.011482,0,0.252424,0.572712,0.144119,1346.427362,40.751099,0.153551346,54.52435035,-7.908085126,2,sunflower
,D 0900,0,0.017668,0.101192,0.045412,0.01722,0,2669.24741,110.654133,0.794222195,54.83592704,-6.304361133,2,sunflower
,H 0147,0,0,0,0.454892,0.156972,0.362166,2818.561043,4.0467,0.388135724,54.37166799,-7.985359722,2,sunflower
,C 5118,0,0.006983,0.015502,0,0,0.064302,1255.199769,30.2414,0.922237458,55.00685176,-7.203687507,2,sunflower
,C 5118,0,0.006983,0.015502,0,0,0.064302,1255.199769,30.2414,0.922237458,55.00685176,-7.203687507,2,sunflower
,J 5073,0,0.045562,0.586612,0.015178,0.013499,0.050273,2434.892673,37.138751,0.313276857,54.58300271,-5.68065549,2,sunflower
,J 2023,0,0.041477,0,0.466327,0.249939,0.188152,2074.940021,154.380848,0.242256986,54.1420651,-6.164508973,2,sunflower
,H 3667,0,0.084209,0.009177,0.14005,0,0.26513,4754.587114,26.5327,0.501435,54.55005786,-7.444421272,3,sunflower and peanuts
,J 0964,0.241509,0.013033,0.018333,0,0,0.01056,2778.065961,49.9825,0.709918,54.51267991,-6.317782558,3,sunflower and peanuts
,H 1886,0.66544,0,0,0,0.086718,0.181611,791.855375,40.707551,0.063052,54.72169218,-7.721413247,3,sunflower and peanuts
,H 4545,0.023991,0.282557,0,0.144764,0.008557,0.124567,531.376227,21.4946,0.411289,54.35172015,-7.308689007,3,sunflower and peanuts
,J 0223,0,0.000888,0,0.189591,0.437964,0.214992,1500.129955,12.8882,0.152903,54.14594917,-6.43982139,3,sunflower and peanuts
,H 4745,0,0.097032,0,0.542961,0.005026,0.188077,4207.544557,1464.209291,0.166904,54.35153998,-7.277933571,3,sunflower and peanuts
,D 1129,0.784957,0,0,0.030215,0.162536,0,3232.228131,19.453751,0.022292,55.09586342,-6.262040557,3,sunflower and peanuts
,H 5183,0.40028,0.013695,0,0.023114,0.319353,0,1915.008958,14.4552,0.243558,54.69248631,-7.209858051,3,sunflower and peanuts
,H 6667,0.119289,0.055898,0,0.441244,0.126081,0.206748,1696.183387,45.1691,0.043977,54.54703972,-6.980878805,3,sunflower and peanuts
,C 4713,0,0.136396,0.048075,0.008725,0.005775,0,3429.256185,38.281601,0.801029,54.962336,-7.267015542,3,sunflower and peanuts
,H 9555,0,0,0.004179,0.005131,0,0.06725,1479.248291,29.994499,0.913679,54.4346706,-6.536747634,3,sunflower and peanuts
,H 5277,0.030058,0.159537,0.015229,0.190643,0.008934,0.314064,1051.561713,22.685201,0.279753,54.63849147,-7.195418434,3,sunflower and peanuts
,J 3339,0,0.031137,0,0.17688,0.146764,0.165974,4876.271525,26.209299,0.479245,54.28251665,-5.958640613,3,sunflower and peanuts
,J 0322,0,0.153924,0.006394,0.338144,0.045617,0.109036,0,27.889734,0.346885,54.13676951,-6.424865579,3,sunflower and peanuts
,H 0541,0,0.042712,0,0.115137,0.309189,0.280445,3726.010169,29.696,0.252517,54.31774378,-7.923914358,3,sunflower and peanuts
,J 3099,0.000085,0.008311,0.021724,0.580693,0.056668,0.172399,7765.169131,16.149199,0.071017,54.8219465,-5.978190932,3,sunflower and peanuts
,C 6022,0,0.134918,0.045609,0.492105,0.055275,0.024958,2168.787153,11.3542,0.175654,55.04177472,-7.062209795,3,sunflower and peanuts
,C 9536,0,0.101429,0.026741,0.135649,0.121647,0.039511,2429.605995,36.157249,0.574173,55.1620363,-6.510224035,3,sunflower and peanuts
,D 1737,0.172839,0,0,0.390906,0.010719,0,486.34182,13.56605,0.425537,55.16630813,-6.164815404,3,sunflower and peanuts
,H 8598,0.374768,0.258236,0,0,0.032327,0.042175,0,63.999433,0.292493,54.82260861,-6.678338775,3,sunflower and peanuts
,J 6168,0,0.03121,0.026069,0.208124,0.032407,0.000027,2795.48216,129.24255,0.702163,54.53475049,-5.513420997,3,sunflower and peanuts
,H 2935,0,0.136188,0.007021,0.013037,0.035006,0.09363,1823.607694,39.120201,0.663756,54.26304669,-7.555712535,3,sunflower and peanuts
,J 3370,0,0.116091,0.442898,0.133581,0.045954,0,1811.40915,76.885174,0.242971,54.56082303,-5.944755566,3,sunflower and peanuts
,J 3470,0,0.118023,0.329508,0.144216,0.020496,0,1532.820248,30.4153,0.350128,54.56055952,-5.92930814,3,sunflower and peanuts
,D 0922,0,0.015298,0.10791,0,0.205798,0.330585,1914.81926,3297.347111,0.340408,55.03345732,-6.296026456,3,sunflower and peanuts
,C 9331,0.279651,0.037436,0.002092,0.364774,0.005523,0,302.428795,15.209,0.310523,55.11751875,-6.543228991,3,sunflower and peanuts
,C 9605,0,0.200736,0.003425,0.022012,0.156626,0.034316,4068.375973,24.816799,0.520654,54.88348241,-6.504940391,3,sunflower and peanuts
,C 9631,0,0.019972,0.022754,0.191799,0.122523,0,0,1279.453992,0.642952,55.11694757,-6.496229878,3,sunflower and peanuts
,H 6381,0.785591,0.000551,0,0.009726,0,0.119954,365.726696,20.582999,0.084179,54.67316648,-7.024224343,3,sunflower and peanuts
,J 3172,0,0.048128,0.742873,0.046626,0.039371,0,2089.089905,187.362854,0.123002,54.57929921,-5.974760763,3,sunflower and peanuts
,J 3946,0,0.067282,0.028722,0.280839,0.10323,0.224654,632.686366,62.568901,0.295274,54.34376341,-5.863329857,3,sunflower and peanuts
,C 9705,0,0.181989,0.037575,0.027955,0.019083,0.033977,5104.842909,14.64766,0.681096,54.88328965,-6.489365032,3,sunflower and peanuts
,H 5093,0.076483,0.204337,0.008762,0.153274,0.125713,0.231278,3967.759985,50.4328,0.200154,54.78240721,-7.223647646,3,sunflower and peanuts
,D 1233,0.139937,0.122772,0,0.466796,0.206054,0.027412,1030.457131,4.73723,0.037029,55.13155146,-6.244810174,3,sunflower and peanuts
,C 5314,0.192918,0.038008,0.016442,0.396941,0,0,164.128178,47.814751,0.350017,54.97071676,-7.173172828,3,sunflower and peanuts
,G 9455,0.316336,0.028764,0.006841,0.239046,0,0.186533,2632.355993,9.71762,0.22248,54.44350038,-8.093226498,3,sunflower and peanuts
,J 4577,0,0.114789,0.008758,0.249167,0.072722,0.046886,0,9.0465,0.507678,54.62036449,-5.755950073,3,sunflower and peanuts
,C 7821,0,0.050047,0,0.515573,0.170061,0.132297,0,42.803651,0.132022,55.03029921,-6.780982721,3,sunflower and peanuts
,C 7523,0,0.02942,0,0.690883,0.047223,0.061084,3375.943153,115.996902,0.171389,55.04872124,-6.82736104,3,sunflower and peanuts
,J 0525,0,0.02346,0,0.230125,0.370569,0.044316,1330.48964,22.03915,0.331531,54.163306,-6.39323578,3,sunflower and peanuts
,D 2904,0.34957,0.014557,0,0.629678,0.000004,0,2401.007722,23.315201,0.006192,54.86709069,-5.991509082,3,sunflower and peanuts
,H 8229,0.106361,0.300209,0,0.297045,0.002701,0.035836,3.9912,41.324126,0.217854,54.20341602,-6.744161454,3,sunflower and peanuts
,H 8385,0,0.162641,0.000048,0,0.006232,0.029358,1712.157944,18.5228,0.801721,54.70619583,-6.713156384,3,sunflower and peanuts
,H 4338,0.076742,0.212681,0.006494,0.228193,0.047587,0.191991,2306.787511,29.143299,0.2299,54.28901201,-7.340451935,3,sunflower and peanuts
,H 9147,0,0.03503,0.041047,0.012196,0.033056,0.0532,1370.40476,13.43561,0.812746,54.36355576,-6.600817108,3,sunflower and peanuts
,J 3237,0,0.027268,0.001124,0.763303,0.104168,0.028084,0,111.760575,0.009173,54.26481959,-5.974865186,3,sunflower and peanuts
,J 3279,0,0.56791,0,0.025706,0.152338,0.037293,0,93.058699,0.216753,54.64188111,-5.956158129,3,sunflower and peanuts
,C 5218,0,0.173271,0.027983,0.031339,0,0,5081.390078,13.37446,0.767407,55.00674844,-7.188060525,3,sunflower and peanuts
,H 4151,0,0.12044,0,0.166184,0.011992,0.188298,355.240543,57.883801,0.513087,54.40595433,-7.369374801,3,sunflower and peanuts
,H 1235,0,0.172421,0.039376,0.023713,0.011645,0.277559,2500.641656,133.436305,0.47214,54.26372655,-7.81659117,3,sunflower and peanuts
,H 1234,0,0.131135,0.011292,0,0.031289,0.610493,1254.668041,30.758699,0.204029,54.25474298,-7.816631116,3,sunflower and peanuts
,J 4877,0,0.308886,0.008801,0.32062,0.165179,0.055933,0,75.3032,0.129218,54.6194951,-5.709546764,3,sunflower and peanuts
,J 4879,0,0.202582,0.092382,0.1974,0.05414,0.035549,0,7.927,0.209072,54.63744685,-5.708537237,3,sunflower and peanuts
,J 0143,0,0.205806,0.021222,0,0.019261,0.050844,4153.284296,27.500051,0.689455,54.32575382,-6.448392339,3,sunflower and peanuts
,D 0642,0.014146,0.020455,0.012354,0.136011,0.134482,0.135314,1096.09752,44.209366,0.547238,55.21367603,-6.335467958,3,sunflower and peanuts
,D 0741,0.223585,0.008464,0,0.597347,0.006031,0.011829,2267.390426,19.773899,0.152745,55.20448236,-6.320143503,3,sunflower and peanuts
,H 1466,0,0.024045,0.489519,0.0624,0,0,910.175332,20.590099,0.410201,54.54215926,-7.784441202,3,sunflower and peanuts
,H 2047,0,0.032835,0.012925,0.06809,0.006764,0,3380.573996,20.16,0.826287,54.3712777,-7.693021024,3,sunflower and peanuts
,H 9527,0.283857,0.071882,0.014405,0.369179,0.009706,0.026228,1224.308393,1306.4935,0.212917,54.18321311,-6.545644201,3,sunflower and peanuts
,J 2870,0,0.048002,0.757429,0,0.058625,0,3074.522267,9.1005,0.135943,54.56211102,-6.021996387,3,sunflower and peanuts
