"","X1km_square","overall_pa_2015","overall_pa_2018","overall_pa_2020","bait","bog","broadleaf","built","conifer","grassland","dwarf","river","rough","lat","long","people_km2","Day.1_2015","Day.1_2018","Day.1_2020","Day.2_2015","Day.2_2018","Day.2_2020","Day.3_2015","Day.3_2018","Day.3_2020","Day.4_2015","Day.4_2018","Day.4_2020","Day.5_2015","Day.5_2018","Day.5_2020","Day.6_2015","Day.6_2018","Day.6_2020","Day.7_2015","Day.7_2018","Day.7_2020","Day.8_2015","Day.8_2018","Day.8_2020","Day.9_2015","Day.9_2018","Day.9_2020","Day.10_2015","Day.10_2018","Day.10_2020","Day.11_2015","Day.11_2018","Day.11_2020","Day.12_2015","Day.12_2018","Day.12_2020","Day.13_2015","Day.13_2018","Day.13_2020","Day.14_2015","Day.14_2018","Day.14_2020"
"39","J3370",0,NA,1,"sunflower and peanuts",0,0.116091,0.442898,0.133581,0.242971,0.045954,1811.40915,0,54.56082303,-5.944755566,76.885174,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,0
"40","D0822",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","H8151",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","J3942",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","C9431",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","C9605",0,NA,0,"sunflower and peanuts",0,0.200736,0.003425,0.022012,0.520654,0.156626,4068.375973,0.034316,54.88348241,-6.504940391,24.816799,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"45","J1120",1,NA,1,"sunflower and peanuts",0,0.547927,0.073401,0.144861,0.112461,0.022379,0,0,54.11714622,-6.303258764,91.377502,1,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,1,0,NA,1,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0
"46","C6931",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","H4183",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","J3946",1,NA,1,"sunflower and peanuts",0,0.067282,0.028722,0.280839,0.295274,0.10323,632.686366,0.224654,54.34376341,-5.863329857,62.568901,0,NA,0,1,NA,0,0,NA,0,1,NA,0,0,NA,1,1,NA,1,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0
