FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_Length_metres_rivers
431,12,3536.612246589066217
432,16,3035.023584973203015
433,4,537.541144731478767
434,29,8144.830781049803591
435,2,707.589516592997143
437,2,121.560715113408065
438,28,4110.575244462422233
439,14,5888.309564130595390
440,49,8678.199802446841204
441,6,745.360150634602292
442,24,5208.653859284493592
443,18,3619.685896126619809
444,4,489.127700658055176
445,2,2285.983720788191931
446,9,2112.975834109069638
447,2,601.193703246765608
448,10,3522.828346870987843
449,22,5686.776385747520180
450,4,1449.569751524292542
451,18,4882.272263431346801
453,4,2272.273837763827032
454,16,3914.703745466068085
455,41,7845.365088141090382
456,6,1986.916044350097309
457,17,4785.127437677888338
458,16,3688.486325550599304
459,24,5389.842172558069251
460,10,3265.553605357574725
461,32,6165.439515890493567
462,10,2421.414718903072298
463,6,1670.354908103530988
464,6,2025.243926749328466
465,4,1553.562135266193081
467,14,4108.365325324535661
468,8,4462.197634709013073
469,35,5580.827519337765807
470,12,3036.419155514745853
472,4,2024.436654406942580
473,17,3444.377390540193574
474,4,2714.101273831335220
475,8,3738.302546477805663
476,4,1043.548654315406111
477,6,2102.216277479019936
478,12,2363.528046513087702
480,12,1236.394124255682982
481,4,2401.662241761054702
482,10,3704.145820570516662
483,11,3908.496605481118422
484,16,6725.600514212597773
485,1,1072.057092581065262
486,8,2198.004897213173081
488,2,1826.027700346478468
489,9,2112.975834109069638
490,8,3233.530520633816650
491,8,2885.196698781772739
492,28,5355.381631423939325
494,10,4582.602461583397599
495,10,2953.297575630190750
496,4,1395.762407604808686
497,4,1395.762407604808686
498,5,1137.981105863844277
499,4,2263.940121863098284
500,6,3191.775441090195272
501,22,4266.402741689233153
502,3,980.218263417463504
503,4,369.536102890337474
504,8,3636.165490396575933
505,6,1417.003552452772055
506,32,5856.445053513664789
507,10,3549.903886141802559
508,12,2187.557573034226607
509,16,2958.262202941812120
510,4,4043.378339995984788
511,4,2416.035509845226898
512,23,3382.369221191870565
513,15,3004.300058747314324
514,8,3874.274923963098445
515,12,3278.369930872144323
516,24,4486.731050706014685
517,4,2208.193950487758684
518,8,1019.286434871073652
521,1,1262.976081735359685
522,4,696.828712951023363
523,21,5461.953643895423738
524,22,4273.710474960563261
525,10,3459.067762441730338
526,4,2321.529474250671228
527,4,2793.635763708910872
529,4,2425.962444451222837
530,4,142.217480355155828
531,30,4427.960279452683608
532,16,4813.989590506190325
533,22,4337.261096746683506
534,10,2514.874049340716738
535,11,4225.525379634927958
538,16,5185.208408837181196
