"gridid","prefix","number","Shape_Length","Shape_Area","OBJECTID","Join_ID","sum_Shape_Area","sum_Area_SQUAREKILOMETERS","Polygon_Count","X231","X243","X312","X324","X412","X512","X111","X112","X121","X142","X311","X313","X321","X322","X332","X333","X122","X211","X242","X421","X423","X522","X131","X411","X331","X521","X133","X511","X334","X124","X141","X222","X132","X123","NA.","total","artificial_surfaces","agricultural_surfaces","forested_and_semi_natural","wetlands","water_bodies","urban","forest","scrub","y","x"
"B71","B",71,40000,1e+08,6524,713,5509663.84400699,5.50918714901441,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550966384400699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550966384400699,0,0,0,0.0550966384400699,0,0,0,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6525,713,2458013.78655349,2.45780925625037,5,0,0,0,0,0,0.0245801378655349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245801378655349,0,0,0,0,0.0245801378655349,0,0,0,54.98186,-8.390524
"B72","B",72,40000,1e+08,6615,724,470599.771421264,0.470561379624223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470599771421264,0,0,0,0,0,0.00470599771421264,0.00470599771421264,0,0,0,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6616,724,432838.119003327,0.432799949194684,1,0,0,0,0,0,0,0,0,0,0.00432838119003327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432838119003327,0.00432838119003327,0,0,0,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6617,724,875082.349887715,0.875010678954812,2,0.00875082349887715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875082349887715,0,0.00875082349887715,0,0,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6618,724,503588.038352894,0.503544768991873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503588038352894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503588038352894,0,0.00503588038352894,0,0,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6619,724,5587101.77904611,5.5866384639739,4,0,0.0558710177904611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558710177904611,0,0.0558710177904611,0,0,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6620,724,3313688.36994681,3.31340817580474,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0331368836994681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331368836994681,0,0,0.0331368836994681,0,0,0,0,0.0331368836994681,55.071693,-8.391398
"B72","B",72,40000,1e+08,6621,724,1991424.33646777,1.99125991433631,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199142433646777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199142433646777,0,0,0.0199142433646777,0,0,0,0,0.0199142433646777,55.071693,-8.391398
"B72","B",72,40000,1e+08,6622,724,3104618.81854941,3.10436626117824,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310461881854941,0,0,0,0,0,0,0,0,0,0,0.0310461881854941,0,0,0.0310461881854941,0,0,0,0,0,55.071693,-8.391398
