prefix,number,gridid,X_centroid,Y_centroid,y,x,Field,Field1,Shape_Length,Shape_Area
C,6614,C6614,-7,55,54.973559999999999,-6.961404000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6615,C6615,-7,55,54.982543000000000,-6.961172000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6616,C6616,-7,55,54.991525000000003,-6.960940000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6617,C6617,-7,55,55.000506999999999,-6.960708000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6618,C6618,-7,55,55.009489000000002,-6.960476000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6619,C6619,-7,55,55.018470999999998,-6.960243000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6620,C6620,-7,55,55.027453000000001,-6.960011000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6621,C6621,-7,55,55.036434999999997,-6.959778000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6622,C6622,-7,55,55.045417999999998,-6.959545000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6623,C6623,-7,55,55.054400000000001,-6.959312000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6624,C6624,-7,55,55.063381999999997,-6.959079000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6625,C6625,-7,55,55.072364000000000,-6.958846000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6626,C6626,-7,55,55.081346000000003,-6.958613000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6627,C6627,-7,55,55.090328000000000,-6.958379000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6628,C6628,-7,55,55.099310000000003,-6.958146000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6629,C6629,-7,55,55.108291999999999,-6.957912000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6630,C6630,-7,55,55.117274000000002,-6.957678000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6631,C6631,-7,55,55.126255999999998,-6.957444000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6632,C6632,-7,55,55.135238000000001,-6.957210000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6633,C6633,-7,55,55.144219999999997,-6.956976000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6634,C6634,-7,55,55.153202000000000,-6.956742000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6635,C6635,-7,55,55.162182999999999,-6.956507000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6636,C6636,-7,55,55.171165000000002,-6.956273000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6637,C6637,-7,55,55.180146999999998,-6.956038000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6638,C6638,-7,55,55.189129000000001,-6.955803000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6639,C6639,-7,55,55.198110999999997,-6.955568000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6650,H6650,-7,54,54.398671000000000,-6.975980000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6651,H6651,-7,54,54.407654000000001,-6.975756000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6652,H6652,-7,54,54.416637000000001,-6.975532000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6653,H6653,-7,54,54.425620000000002,-6.975308000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6654,H6654,-7,54,54.434603000000003,-6.975084000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6655,H6655,-7,54,54.443586000000003,-6.974860000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6656,H6656,-7,54,54.452568999999997,-6.974635000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6657,H6657,-7,54,54.461551999999998,-6.974411000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6658,H6658,-7,54,54.470534999999998,-6.974186000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6659,H6659,-7,54,54.479517999999999,-6.973961000000000,0,0,4000.000000000000000,1000000.000000000000000
J,6659,J6659,-5,54,54.456591000000003,-5.432248000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6660,H6660,-7,54,54.488500999999999,-6.973736000000000,0,0,4000.000000000000000,1000000.000000000000000
J,6660,J6660,-5,54,54.465566000000003,-5.431686000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6661,H6661,-7,54,54.497484000000000,-6.973511000000000,0,0,4000.000000000000000,1000000.000000000000000
J,6661,J6661,-5,54,54.474541000000002,-5.431123000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6662,H6662,-7,55,54.506467000000001,-6.973286000000000,0,0,4000.000000000000000,1000000.000000000000000
J,6662,J6662,-5,54,54.483516999999999,-5.430560000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6663,H6663,-7,55,54.515450000000001,-6.973061000000000,0,0,4000.000000000000000,1000000.000000000000000
J,6663,J6663,-5,54,54.492491999999999,-5.429997000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6664,H6664,-7,55,54.524433000000002,-6.972835000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6665,H6665,-7,55,54.533416000000003,-6.972610000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6666,H6666,-7,55,54.542399000000003,-6.972384000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6667,H6667,-7,55,54.551381999999997,-6.972158000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6668,H6668,-7,55,54.560364999999997,-6.971932000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6669,H6669,-7,55,54.569347000000000,-6.971706000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6670,H6670,-7,55,54.578330000000001,-6.971480000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6671,H6671,-7,55,54.587313000000002,-6.971254000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6672,H6672,-7,55,54.596296000000002,-6.971028000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6673,H6673,-7,55,54.605279000000003,-6.970801000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6674,H6674,-7,55,54.614260999999999,-6.970574000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6675,H6675,-7,55,54.623244000000000,-6.970348000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6676,H6676,-7,55,54.632227000000000,-6.970121000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6677,H6677,-7,55,54.641210000000001,-6.969894000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6678,H6678,-7,55,54.650191999999997,-6.969666000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6679,H6679,-7,55,54.659174999999998,-6.969439000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6680,H6680,-7,55,54.668157999999998,-6.969212000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6681,H6681,-7,55,54.677140000000001,-6.968984000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6682,H6682,-7,55,54.686123000000002,-6.968756000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6683,H6683,-7,55,54.695106000000003,-6.968529000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6684,H6684,-7,55,54.704087999999999,-6.968301000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6685,H6685,-7,55,54.713070999999999,-6.968073000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6686,H6686,-7,55,54.722053000000002,-6.967844000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6687,H6687,-7,55,54.731036000000003,-6.967616000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6688,H6688,-7,55,54.740018999999997,-6.967388000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6689,H6689,-7,55,54.749001000000000,-6.967159000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6690,H6690,-7,55,54.757984000000000,-6.966930000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6691,H6691,-7,55,54.766965999999996,-6.966702000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6692,H6692,-7,55,54.775948999999997,-6.966473000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6693,H6693,-7,55,54.784931000000000,-6.966244000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6694,H6694,-7,55,54.793914000000001,-6.966014000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6695,H6695,-7,55,54.802895999999997,-6.965785000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6696,H6696,-7,55,54.811878999999998,-6.965556000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6697,H6697,-7,55,54.820861000000001,-6.965326000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6698,H6698,-7,55,54.829842999999997,-6.965096000000000,0,0,4000.000000000000000,1000000.000000000000000
H,6699,H6699,-7,55,54.838825999999997,-6.964867000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6700,C6700,-7,55,54.847675000000002,-6.949070000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6701,C6701,-7,55,54.856656999999998,-6.948837000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6702,C6702,-7,55,54.865639000000002,-6.948603000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6703,C6703,-7,55,54.874622000000002,-6.948369000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6704,C6704,-7,55,54.883603999999998,-6.948135000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6705,C6705,-7,55,54.892586000000001,-6.947901000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6706,C6706,-7,55,54.901567999999997,-6.947667000000000,0,0,4000.000000000000000,1000000.000000000000000
