prefix,number,gridid,y,x,Shape_Length,Shape_Area
R,32,R32,52.372805000000000,-8.954497999999999,40000.000000000000000,100000000.000000000000000
S,32,S32,52.375542000000003,-7.486012000000000,40000.000000000000000,100000000.000000000000000
C,33,C33,55.160919999999997,-7.450818000000000,40000.000000000000000,100000000.000000000000000
G,33,G33,54.259624000000002,-8.997550000000000,40000.000000000000000,100000000.000000000000000
H,33,H33,54.262554000000002,-7.462826000000000,40000.000000000000000,100000000.000000000000000
J,33,J33,54.245955000000002,-5.928741000000000,40000.000000000000000,100000000.000000000000000
M,33,M33,53.361215999999999,-8.976443000000000,40000.000000000000000,100000000.000000000000000
N,33,N33,53.364052000000001,-7.474193000000000,40000.000000000000000,100000000.000000000000000
O,33,O33,53.347987000000003,-5.972537000000000,40000.000000000000000,100000000.000000000000000
R,33,R33,52.462668000000001,-8.956441000000000,40000.000000000000000,100000000.000000000000000
S,33,S33,52.465412999999998,-7.484966000000000,40000.000000000000000,100000000.000000000000000
W,33,W33,51.563977000000001,-8.937467000000000,40000.000000000000000,100000000.000000000000000
C,34,C34,55.250748999999999,-7.449580000000000,40000.000000000000000,100000000.000000000000000
H,34,H34,54.352397000000003,-7.461655000000000,40000.000000000000000,100000000.000000000000000
J,34,J34,54.335743000000001,-5.924229000000000,40000.000000000000000,100000000.000000000000000
M,34,M34,53.451064000000002,-8.978503000000000,40000.000000000000000,100000000.000000000000000
N,34,N34,53.453909000000003,-7.473084000000000,40000.000000000000000,100000000.000000000000000
O,34,O34,53.437790999999997,-5.968264000000000,40000.000000000000000,100000000.000000000000000
R,34,R34,52.552529000000000,-8.958392999999999,40000.000000000000000,100000000.000000000000000
S,34,S34,52.555283000000003,-7.483914000000000,40000.000000000000000,100000000.000000000000000
W,34,W34,51.653852000000001,-8.939320000000000,40000.000000000000000,100000000.000000000000000
C,35,C35,55.340577000000003,-7.448336000000000,40000.000000000000000,100000000.000000000000000
H,35,H35,54.442238000000003,-7.460477000000000,40000.000000000000000,100000000.000000000000000
J,35,J35,54.425530000000002,-5.919692000000000,40000.000000000000000,100000000.000000000000000
M,35,M35,53.540908999999999,-8.980574000000001,40000.000000000000000,100000000.000000000000000
N,35,N35,53.543764000000003,-7.471969000000000,40000.000000000000000,100000000.000000000000000
O,35,O35,53.527594000000001,-5.963967000000000,40000.000000000000000,100000000.000000000000000
R,35,R35,52.642389000000001,-8.960357000000000,40000.000000000000000,100000000.000000000000000
S,35,S35,52.645152000000003,-7.482857000000000,40000.000000000000000,100000000.000000000000000
W,35,W35,51.743727000000000,-8.941183000000001,40000.000000000000000,100000000.000000000000000
H,36,H36,54.532077999999998,-7.459293000000000,40000.000000000000000,100000000.000000000000000
J,36,J36,54.515315000000001,-5.915130000000000,40000.000000000000000,100000000.000000000000000
