prefix,number,gridid,y,x,Shape_Length,Shape_Area
J,19,J19,54.789637999999997,-6.212029000000000,40000.000000000000000,100000000.000000000000000
D,20,D20,54.877034999999999,-6.052329000000000,40000.000000000000000,100000000.000000000000000
J,20,J20,53.979095000000001,-6.094468000000000,40000.000000000000000,100000000.000000000000000
D,21,D21,54.966821000000003,-6.047986000000000,40000.000000000000000,100000000.000000000000000
H,21,H21,54.083447000000000,-7.617959000000000,40000.000000000000000,100000000.000000000000000
J,21,J21,54.068896000000002,-6.090358000000000,40000.000000000000000,100000000.000000000000000
D,22,D22,55.056604999999998,-6.043619000000000,40000.000000000000000,100000000.000000000000000
H,22,H22,54.173293999999999,-7.617132000000000,40000.000000000000000,100000000.000000000000000
J,22,J22,54.158695000000002,-6.086224000000000,40000.000000000000000,100000000.000000000000000
D,23,D23,55.146386999999997,-6.039227000000000,40000.000000000000000,100000000.000000000000000
H,23,H23,54.263140000000000,-7.616300000000000,40000.000000000000000,100000000.000000000000000
J,23,J23,54.248493000000003,-6.082069000000000,40000.000000000000000,100000000.000000000000000
D,24,D24,55.236167999999999,-6.034811000000000,40000.000000000000000,100000000.000000000000000
H,24,H24,54.352984999999997,-7.615463000000000,40000.000000000000000,100000000.000000000000000
J,24,J24,54.338290000000001,-6.077890000000000,40000.000000000000000,100000000.000000000000000
H,25,H25,54.442827999999999,-7.614622000000000,40000.000000000000000,100000000.000000000000000
J,25,J25,54.428083999999998,-6.073688000000000,40000.000000000000000,100000000.000000000000000
H,26,H26,54.532670000000003,-7.613776000000000,40000.000000000000000,100000000.000000000000000
J,26,J26,54.517878000000003,-6.069463000000000,40000.000000000000000,100000000.000000000000000
H,27,H27,54.622511000000003,-7.612925000000000,40000.000000000000000,100000000.000000000000000
J,27,J27,54.607669000000001,-6.065215000000000,40000.000000000000000,100000000.000000000000000
H,28,H28,54.712350000000001,-7.612070000000000,40000.000000000000000,100000000.000000000000000
J,28,J28,54.697460000000000,-6.060944000000000,40000.000000000000000,100000000.000000000000000
H,29,H29,54.802188000000001,-7.611210000000000,40000.000000000000000,100000000.000000000000000
J,29,J29,54.787247999999998,-6.056649000000000,40000.000000000000000,100000000.000000000000000
C,30,C30,54.891424999999998,-7.454491000000000,40000.000000000000000,100000000.000000000000000
D,30,D30,54.874437999999998,-5.896628000000000,40000.000000000000000,100000000.000000000000000
C,31,C31,54.981257999999997,-7.453273000000000,40000.000000000000000,100000000.000000000000000
D,31,D31,54.964215000000003,-5.891939000000000,40000.000000000000000,100000000.000000000000000
H,31,H31,54.082864999999998,-7.465149000000000,40000.000000000000000,100000000.000000000000000
J,31,J31,54.066375000000001,-5.937691000000000,40000.000000000000000,100000000.000000000000000
C,32,C32,55.071089999999998,-7.452049000000000,40000.000000000000000,100000000.000000000000000
D,32,D32,55.053989999999999,-5.887223000000000,40000.000000000000000,100000000.000000000000000
H,32,H32,54.172710000000002,-7.463991000000000,40000.000000000000000,100000000.000000000000000
J,32,J32,54.156165999999999,-5.933228000000000,40000.000000000000000,100000000.000000000000000
H,33,H33,54.262554000000002,-7.462826000000000,40000.000000000000000,100000000.000000000000000
J,33,J33,54.245955000000002,-5.928741000000000,40000.000000000000000,100000000.000000000000000
H,34,H34,54.352397000000003,-7.461655000000000,40000.000000000000000,100000000.000000000000000
J,34,J34,54.335743000000001,-5.924229000000000,40000.000000000000000,100000000.000000000000000
H,35,H35,54.442238000000003,-7.460477000000000,40000.000000000000000,100000000.000000000000000
J,35,J35,54.425530000000002,-5.919692000000000,40000.000000000000000,100000000.000000000000000
H,36,H36,54.532077999999998,-7.459293000000000,40000.000000000000000,100000000.000000000000000
J,36,J36,54.515315000000001,-5.915130000000000,40000.000000000000000,100000000.000000000000000
H,37,H37,54.621917000000003,-7.458102000000000,40000.000000000000000,100000000.000000000000000
J,37,J37,54.605097999999998,-5.910543000000000,40000.000000000000000,100000000.000000000000000
H,38,H38,54.711753999999999,-7.456905000000000,40000.000000000000000,100000000.000000000000000
J,38,J38,54.694879999999998,-5.905930000000000,40000.000000000000000,100000000.000000000000000
H,39,H39,54.801589999999997,-7.455701000000000,40000.000000000000000,100000000.000000000000000
J,39,J39,54.784660000000002,-5.901292000000000,40000.000000000000000,100000000.000000000000000
C,40,C40,54.890625000000000,-7.298642000000000,40000.000000000000000,100000000.000000000000000
D,40,D40,54.871642000000001,-5.740953000000000,40000.000000000000000,100000000.000000000000000
C,41,C41,54.980455999999997,-7.297077000000000,40000.000000000000000,100000000.000000000000000
H,41,H41,54.082087999999999,-7.312345000000000,40000.000000000000000,100000000.000000000000000
C,42,C42,55.070284999999998,-7.295503000000000,40000.000000000000000,100000000.000000000000000
H,42,H42,54.171931000000001,-7.310856000000000,40000.000000000000000,100000000.000000000000000
H,43,H43,54.261772999999998,-7.309358000000000,40000.000000000000000,100000000.000000000000000
J,43,J43,54.243223000000000,-5.775438000000000,40000.000000000000000,100000000.000000000000000
H,44,H44,54.351613000000000,-7.307853000000000,40000.000000000000000,100000000.000000000000000
J,44,J44,54.333002000000000,-5.770592000000000,40000.000000000000000,100000000.000000000000000
H,45,H45,54.441451999999998,-7.306339000000000,40000.000000000000000,100000000.000000000000000
J,45,J45,54.422778999999998,-5.765720000000000,40000.000000000000000,100000000.000000000000000
H,46,H46,54.531289000000001,-7.304816000000000,40000.000000000000000,100000000.000000000000000
J,46,J46,54.512554999999999,-5.760821000000000,40000.000000000000000,100000000.000000000000000
H,47,H47,54.621124999999999,-7.303286000000000,40000.000000000000000,100000000.000000000000000
J,47,J47,54.602328999999997,-5.755895000000000,40000.000000000000000,100000000.000000000000000
H,48,H48,54.710960000000000,-7.301746000000000,40000.000000000000000,100000000.000000000000000
J,48,J48,54.692101000000001,-5.750942000000000,40000.000000000000000,100000000.000000000000000
H,49,H49,54.800792999999999,-7.300199000000000,40000.000000000000000,100000000.000000000000000
J,49,J49,54.781872000000000,-5.745961000000000,40000.000000000000000,100000000.000000000000000
C,50,C50,54.889625000000002,-7.142803000000000,40000.000000000000000,100000000.000000000000000
C,51,C51,54.979452999999999,-7.140890000000000,40000.000000000000000,100000000.000000000000000
C,52,C52,55.069279000000002,-7.138967000000000,40000.000000000000000,100000000.000000000000000
H,52,H52,54.170957999999999,-7.157729000000000,40000.000000000000000,100000000.000000000000000
H,53,H53,54.260795999999999,-7.155899000000000,40000.000000000000000,100000000.000000000000000
J,53,J53,54.240295000000003,-5.622161000000000,40000.000000000000000,100000000.000000000000000
H,54,H54,54.350633000000002,-7.154059000000000,40000.000000000000000,100000000.000000000000000
J,54,J54,54.330064999999998,-5.616982000000000,40000.000000000000000,100000000.000000000000000
H,55,H55,54.440469000000000,-7.152209000000000,40000.000000000000000,100000000.000000000000000
J,55,J55,54.419832000000000,-5.611775000000000,40000.000000000000000,100000000.000000000000000
H,56,H56,54.530303000000004,-7.150348000000000,40000.000000000000000,100000000.000000000000000
J,56,J56,54.509597999999997,-5.606540000000000,40000.000000000000000,100000000.000000000000000
H,57,H57,54.620134999999998,-7.148477000000000,40000.000000000000000,100000000.000000000000000
J,57,J57,54.599362999999997,-5.601275000000000,40000.000000000000000,100000000.000000000000000
H,58,H58,54.709966999999999,-7.146596000000000,40000.000000000000000,100000000.000000000000000
J,58,J58,54.689124999999997,-5.595981000000000,40000.000000000000000,100000000.000000000000000
H,59,H59,54.799796999999998,-7.144705000000000,40000.000000000000000,100000000.000000000000000
C,60,C60,54.888426000000003,-6.986974000000000,40000.000000000000000,100000000.000000000000000
C,61,C61,54.978248999999998,-6.984713000000000,40000.000000000000000,100000000.000000000000000
C,62,C62,55.068071000000003,-6.982441000000000,40000.000000000000000,100000000.000000000000000
C,63,C63,55.157891999999997,-6.980155000000000,40000.000000000000000,100000000.000000000000000
H,64,H64,54.349457000000001,-7.000275000000000,40000.000000000000000,100000000.000000000000000
J,64,J64,54.326931999999999,-5.463401000000000,40000.000000000000000,100000000.000000000000000
H,65,H65,54.439289000000002,-6.998089000000000,40000.000000000000000,100000000.000000000000000
J,65,J65,54.416688999999998,-5.457859000000000,40000.000000000000000,100000000.000000000000000
H,66,H66,54.529119000000001,-6.995890000000000,40000.000000000000000,100000000.000000000000000
J,66,J66,54.506444999999999,-5.452287000000000,40000.000000000000000,100000000.000000000000000
H,67,H67,54.618948000000003,-6.993680000000000,40000.000000000000000,100000000.000000000000000
J,67,J67,54.596198999999999,-5.446684000000000,40000.000000000000000,100000000.000000000000000
H,68,H68,54.708775000000003,-6.991457000000000,40000.000000000000000,100000000.000000000000000
J,68,J68,54.685951000000003,-5.441050000000000,40000.000000000000000,100000000.000000000000000
H,69,H69,54.798600999999998,-6.989221000000000,40000.000000000000000,100000000.000000000000000
C,70,C70,54.887027000000003,-6.831157000000000,40000.000000000000000,100000000.000000000000000
C,71,C71,54.976844999999997,-6.828549000000000,40000.000000000000000,100000000.000000000000000
C,72,C72,55.066662999999998,-6.825927000000000,40000.000000000000000,100000000.000000000000000
H,72,H72,54.168427000000001,-6.851508000000000,40000.000000000000000,100000000.000000000000000
C,73,C73,55.156478000000000,-6.823290000000000,40000.000000000000000,100000000.000000000000000
H,73,H73,54.258257000000000,-6.849013000000000,40000.000000000000000,100000000.000000000000000
H,74,H74,54.348084999999998,-6.846504000000000,40000.000000000000000,100000000.000000000000000
H,75,H75,54.437913000000002,-6.843981000000000,40000.000000000000000,100000000.000000000000000
H,76,H76,54.527737999999999,-6.841445000000000,40000.000000000000000,100000000.000000000000000
H,77,H77,54.617562000000000,-6.838894000000000,40000.000000000000000,100000000.000000000000000
H,78,H78,54.707385000000002,-6.836329000000000,40000.000000000000000,100000000.000000000000000
H,79,H79,54.797207000000000,-6.833750000000000,40000.000000000000000,100000000.000000000000000
C,80,C80,54.885427999999997,-6.675355000000000,40000.000000000000000,100000000.000000000000000
C,81,C81,54.975240999999997,-6.672400000000000,40000.000000000000000,100000000.000000000000000
H,81,H81,54.077043000000003,-6.701229000000000,40000.000000000000000,100000000.000000000000000
C,82,C82,55.065052999999999,-6.669428000000000,40000.000000000000000,100000000.000000000000000
H,82,H82,54.166870000000003,-6.698417000000000,40000.000000000000000,100000000.000000000000000
C,83,C83,55.154862999999999,-6.666440000000000,40000.000000000000000,100000000.000000000000000
H,83,H83,54.256694000000003,-6.695589000000000,40000.000000000000000,100000000.000000000000000
C,84,C84,55.244672999999999,-6.663435000000000,40000.000000000000000,100000000.000000000000000
H,84,H84,54.346518000000003,-6.692746000000000,40000.000000000000000,100000000.000000000000000
G,85,G85,54.443221000000001,-8.231229000000001,40000.000000000000000,100000000.000000000000000
H,85,H85,54.436340000000001,-6.689887000000000,40000.000000000000000,100000000.000000000000000
H,86,H86,54.526159999999997,-6.687013000000000,40000.000000000000000,100000000.000000000000000
H,87,H87,54.615979000000003,-6.684123000000000,40000.000000000000000,100000000.000000000000000
H,88,H88,54.705796999999997,-6.681216000000000,40000.000000000000000,100000000.000000000000000
H,89,H89,54.795613000000003,-6.678294000000000,40000.000000000000000,100000000.000000000000000
C,90,C90,54.883628999999999,-6.519569000000000,40000.000000000000000,100000000.000000000000000
C,91,C91,54.973436999999997,-6.516267000000000,40000.000000000000000,100000000.000000000000000
H,91,H91,54.075296999999999,-6.548484000000000,40000.000000000000000,100000000.000000000000000
C,92,C92,55.063242000000002,-6.512946000000000,40000.000000000000000,100000000.000000000000000
H,92,H92,54.165118000000000,-6.545341000000000,40000.000000000000000,100000000.000000000000000
C,93,C93,55.153047000000001,-6.509607000000000,40000.000000000000000,100000000.000000000000000
H,93,H93,54.254936999999998,-6.542181000000000,40000.000000000000000,100000000.000000000000000
C,94,C94,55.242849999999997,-6.506249000000000,40000.000000000000000,100000000.000000000000000
G,94,G94,54.353572999999997,-8.076908000000000,40000.000000000000000,100000000.000000000000000
H,94,H94,54.344754000000002,-6.539004000000000,40000.000000000000000,100000000.000000000000000
G,95,G95,54.443418000000001,-8.077076999999999,40000.000000000000000,100000000.000000000000000
H,95,H95,54.434570000000001,-6.535809000000000,40000.000000000000000,100000000.000000000000000
G,96,G96,54.533262000000001,-8.077246000000001,40000.000000000000000,100000000.000000000000000
H,96,H96,54.524385000000002,-6.532597000000000,40000.000000000000000,100000000.000000000000000
H,97,H97,54.614198000000002,-6.529367000000000,40000.000000000000000,100000000.000000000000000
H,98,H98,54.704009999999997,-6.526119000000000,40000.000000000000000,100000000.000000000000000
H,99,H99,54.793819999999997,-6.522853000000000,40000.000000000000000,100000000.000000000000000
