FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_legth_met
123,15,4329.273179009729574
124,21,6095.313728746116794
125,2,1398.485935426537935
126,1,348.065906434800411
127,3,1414.750850658190075
128,2,1842.024354046913686
129,5,2596.681806114731444
130,7,2248.403682077890608
131,15,1899.835469013904230
132,5,2784.302278942273006
133,1,1137.350884144663269
134,19,3816.187786165227863
135,2,1119.343382245973544
136,16,3690.153904484801387
137,8,3102.987389768496996
138,18,4722.754481444890189
139,14,4115.607342325989521
140,13,1879.426583430346454
141,4,1191.086197535998508
142,23,3559.879928921619921
143,4,1530.514525201771448
144,9,2568.200724931601599
145,3,1199.071480555770222
146,443,28084.979660537777818
147,70,9506.749115515198355
148,4,2077.319850392499120
149,7,1496.145859442773144
150,25,7633.793654699607941
151,174,17503.234246959316806
152,11,1904.738567039961708
153,5,1572.486245449632179
154,35,8353.052469384911092
155,8,2289.834030425172386
156,20,3658.292101273707885
157,17,5040.779536296827246
158,4,1265.057404185185305
159,7,2870.178615024507508
160,7,3468.274061156917469
161,14,2695.682472104797853
162,38,7529.820409283210211
163,17,3071.053359428985459
164,9,1494.675765904269383
165,203,19588.229141746942332
166,7,2553.839944112456124
167,9,2064.128427789054513
169,22,3387.088332979114512
170,21,4766.656744714121487
171,9,2259.878109624067747
172,3,1935.721188798753246
173,21,4987.086084935880535
174,20,5990.619358232205741
175,14,5629.325301245871742
176,3,1460.564263431686186
177,38,5815.636564942264158
178,21,3799.020026450127261
179,26,4770.342132763013069
180,7,1888.884801141643948
181,5,1370.984150662643287
182,14,3634.804958207764685
183,11,2769.200860089883463
184,20,5269.812849883857780
185,6,3166.576680570866301
186,17,4152.154172130457482
187,6,2793.422658609303198
188,5,1938.797261442430681
189,35,6802.759810758365347
190,30,3403.614650471934056
191,61,8182.386493072743178
192,77,9905.797296444461608
193,8,2457.000680963038576
194,29,4284.626055976902535
195,12,3517.930869652916499
196,3,1102.096979319884895
197,23,4143.114032159985072
198,10,1010.642417603097897
199,2,2817.649867396983609
200,12,1493.199666785504178
201,55,6779.153236952120096
202,33,6043.795859647480029
203,2,154.068560636489195
204,20,3213.165998055601904
205,4,1676.187636256084033
206,3,1083.774231691522345
207,35,5671.150478144529188
208,13,3411.997398346007685
209,11,2882.775631720602632
210,40,5329.559956897833217
211,7,2666.250533495007858
212,6,2055.794509798168747
213,153,16496.703223425472970
214,8,2634.648627606713944
215,16,3841.192108009368894
216,11,3324.713376982085720
217,320,23623.342906396312173
218,4,2977.597211106277427
219,32,4479.576461249228487
220,5,2050.231672008578244
221,22,2279.227337369102315
222,24,4108.571828414961601
223,28,5528.348150904036629
224,14,3088.283604168010697
225,15,3191.216745248231291
226,64,10582.366965079028887
227,71,7365.059629487041093
228,3,1858.653315972126165
229,32,5186.991889706254369
230,1,992.368895618045030
231,110,9782.797238160817869
232,114,11680.643713718051004
233,2,1250.599791372732170
234,91,9275.907924136268775
235,1,30.049510265598009
236,81,10809.729509650942418
237,4,1733.393573512289549
238,26,6124.547835111137829
239,26,4580.769341509861079
240,42,7302.874458104889527
241,1,353.804781001999288
242,6,2630.621138320777391
243,10,3023.885169162740567
244,4,1627.611948447018221
245,1,612.649668612734217
246,8,1794.304264099865122
247,4,1816.615159067284367
248,18,3628.021295936081970
249,18,4112.355953044901980
251,12,3463.587483180982872
252,57,5620.203707866347031
253,9,3505.025946441447559
254,9,3488.858950238920897
255,7,2330.058172465256575
256,54,11795.742228418364903
257,33,4564.621776699103975
258,14,6587.527351311171515
259,15,3767.377626905731631
260,12,3379.695284383711169
261,23,4911.859604979715186
262,196,23591.237904984918714
263,15,3263.926264354853629
264,80,6322.718602601753446
265,18,3458.206967961712962
266,4,2141.949455779764321
267,3,2203.943426971271492
268,14,2966.012690523804849
269,28,6076.526281721761734
270,15,4709.647201862427210
271,1,434.988343435226682
272,33,4729.925637880214708
273,8,2299.875925531734083
274,7,2564.897508393854423
275,23,3527.857749029745264
276,9,2612.784869773526225
277,2,61.799206894230473
278,24,4344.165650470015862
279,9,3031.435129893789963
280,12,3499.514721598765846
281,8,2141.465728767688233
282,6,1988.118735586216189
283,12,2945.854161593330446
284,11,2644.341240254157583
285,26,4699.947745430959912
286,6,1594.320144740751175
287,20,5087.282115635085574
288,5,852.716562044271882
289,27,6720.214755158523985
290,6,1421.355592964723883
291,77,10355.952560304447616
292,4,1289.326691479003784
293,5,1527.615075433049697
294,9,3771.284902712281109
295,15,3063.457420709601138
296,11,1461.758050849329493
297,7,1089.619090780484612
299,7,2070.849106067699722
300,8,2987.576108153526548
301,3,934.832279961701261
302,3,1686.601515956598632
303,167,16631.893299545150512
304,10,2916.224673123064349
305,16,2931.806771251056944
306,74,9619.913637454197669
307,47,9377.893410674836559
308,5,1947.201727816715902
309,104,12828.805048448810339
310,2,1089.409073507122685
311,6,2024.025117587822024
312,50,13451.586164325979553
313,5,1883.276346881850259
314,326,24438.954610907443566
315,20,4352.470048245220823
316,2,1758.069953859218003
317,5,1685.628784997490584
318,6,1514.157674013506494
319,30,5489.177624825087150
320,1,763.736168403810780
321,189,14297.360587757959365
322,2,1232.568193549447415
323,12,4280.496562996213470
324,10,2795.167027902496557
325,16,3892.378410532485759
326,16,2391.276774720272442
327,12,2453.865606497553927
328,7,3030.391216910322328
329,20,5176.975099430347655
330,1,652.062467424716374
331,1,28.570964780335746
332,16,3309.135335440182189
333,33,8010.168947262201073
334,46,6207.507822759919691
335,20,3988.772791535376655
336,29,5572.996992349783795
337,105,9190.661549625203406
338,7,2231.620481942063634
339,18,2582.142576731942427
340,31,5693.223712561346474
341,3,1179.242559892431700
342,30,5683.433356902633022
343,96,9211.892138351506219
344,9,2800.860283770357000
345,50,7467.727817466216038
346,7,2007.562191910390766
347,11,2602.384362536905883
348,12,1371.958098886612561
349,5,1472.482628928147506
350,79,11905.646186167250562
351,10,1957.255481900292352
